Title,Date
"Breaking Bad: Temporada 3: Vuelo","7/31/22"
"Breaking Bad: Temporada 3: Kafkiano","7/31/22"
"Breaking Bad: Temporada 3: Te veo","7/30/22"
"Breaking Bad: Temporada 3: Un minuto","7/30/22"
"Breaking Bad: Temporada 3: Atardecer","7/30/22"
"Breaking Bad: Temporada 3: Más","7/30/22"
"Breaking Bad: Temporada 3: Luz verde","7/30/22"
"Breaking Bad: Temporada 3: T. S. T.","7/30/22"
"El club de la pelea","7/9/22"
"Breaking Bad: Temporada 3: Caballo sin nombre","6/30/22"
"Breaking Bad: Temporada 3: No más","6/30/22"
"La batalla olvidada","6/16/22"
"Breaking Bad: Temporada 2: ABQ","6/3/22"
"Breaking Bad: Temporada 2: Phoenix","6/3/22"
"Breaking Bad: Temporada 2: Mandala","6/3/22"
"Breaking Bad: Temporada 2: Terminado","6/2/22"
"Breaking Bad: Temporada 2: Negro y azul","5/31/22"
"Breaking Bad: Temporada 2: Cucú","5/31/22"
"Breaking Bad: Temporada 2: Rotura","5/31/22"
"Breaking Bad: Temporada 2: Abajo","5/30/22"
"Gotham: Temporada 5: Año cero","5/21/22"
"Gotham: Piloto","5/21/22"
"Cómo se convirtieron en tiranos: Miniserie: Conquistar el poder","2/25/22"
"Cómo se convirtieron en tiranos: Miniserie: Acabar con tus rivales","2/25/22"
"Titanes: Temporada 3: Barbara Gordon","2/20/22"
"Titanes: Temporada 1: El halcón y la paloma","2/20/22"
" : Episodio 4","2/12/22"
" : Episodio 1","2/12/22"
" : Episodio 13","1/30/22"
" : Episodio 12","1/30/22"
" : Episodio 11","1/30/22"
" : Episodio 10","1/29/22"
" : Episodio 9","1/29/22"
" : Episodio 8","1/29/22"
" : Episodio 7","1/29/22"
" : Episodio 6","1/28/22"
" : Episodio 5","1/27/22"
" : Episodio 3","1/26/22"
" : Episodio 2","1/25/22"
" : Episodio 1","1/25/22"
" : Episodio 3","1/24/22"
" : Episodio 2","1/24/22"
" : Episodio 1","1/24/22"
" : Episodio 13","1/23/22"
" : Episodio 12","1/23/22"
" : Episodio 11","1/23/22"
" : Episodio 10","1/23/22"
" : Episodio 9","1/22/22"
" : Episodio 8","1/22/22"
" : Episodio 7","1/22/22"
" : Episodio 6","1/16/22"
"Karate Kid","1/16/22"
" : Episodio 5","1/15/22"
" : Episodio 4","1/2/22"
" : Episodio 3","1/2/22"
" : Episodio 2","1/2/22"
" : Episodio 1","1/1/22"
" : Episodio 13","12/31/21"
" : Episodio 12","12/31/21"
" : Episodio 11","12/30/21"
" : Episodio 10","12/30/21"
" : Episodio 9","12/30/21"
" : Episodio 8","12/29/21"
" : Episodio 7","12/29/21"
" : Episodio 6","12/28/21"
" : Episodio 5","12/28/21"
" : Episodio 4","12/27/21"
" : Episodio 3","12/27/21"
"tick, tick...BOOM!","12/27/21"
" : Episodio 2","12/24/21"
"El Hombre Araña 2","12/16/21"
"El espectacular Hombre Araña: Final Curtain","12/16/21"
"El espectacular Hombre Araña: Opening Night","12/16/21"
"El espectacular Hombre Araña: Subtext","12/16/21"
"El espectacular Hombre Araña: Gangland","12/16/21"
"Spider-Man: De regreso a casa","12/16/21"
"El espectacular Hombre Araña: Probable Cause","12/15/21"
"El espectacular Hombre Araña: Accmomplices","12/15/21"
"El espectacular Hombre Araña: Identity Crisis","12/14/21"
"El espectacular Hombre Araña: Growing Pains","12/14/21"
"El espectacular Hombre Araña: Firs Steps","12/9/21"
"El espectacular Hombre Araña: Shear Srength","12/8/21"
"El espectacular Hombre Araña: Reinforcement","12/8/21"
"El espectacular Hombre Araña: Destructive Testing","12/8/21"
"El espectacular Hombre Araña: Bueprints","12/8/21"
"El espectacular Hombre Araña: Nature vs. Nurture","12/5/21"
"El espectacular Hombre Araña: Intervention","12/5/21"
"El espectacular Hombre Araña: Group Therapy","12/5/21"
"El espectacular Hombre Araña: Persona","12/4/21"
"El espectacular Hombre Araña: The Uncertainty Principle","12/4/21"
"Arrow: Temporada 8: Crisis en Tierras Infinitas: Hora cuatro","12/1/21"
"El sorprendente Hombre-Araña 2: La amenaza de Electro","12/1/21"
"El hombre araña","11/18/21"
"El espectacular Hombre Araña: Reaction","11/14/21"
"El espectacular Hombre Araña: Catalysts","10/31/21"
"Venom","10/16/21"
"El espectacular Hombre Araña: The Invisible Hand","10/4/21"
"El espectacular Hombre Araña: Competition","10/3/21"
"Sex Education: Temporada 2: Episodio 1","9/20/21"
"El espectacular Hombre Araña: Market Forces","9/19/21"
"El espectacular Hombre Araña: Natural Selection","9/19/21"
"El espectacular Hombre Araña: Interactions","9/19/21"
"El espectacular Hombre Araña: Survival of the Fittest","9/17/21"
"Creed II: Defendiendo el legado","9/9/21"
"Creed: Corazón de campeón","9/9/21"
"Sexo/Vida: Temporada 1: Con el Empire State en la mente","9/8/21"
"Titanes: Temporada 1: Titanes","8/3/21"
"Arrow: Piloto","7/29/21"
"Cuba and the Cameraman","7/26/21"
"Flash: Temporada 4: Señales mixtas","7/25/21"
"Liga de la Justicia","7/18/21"
"Batman vs Superman: El origen de la justicia","3/26/21"
"Batman: El caballero de la noche","3/16/21"
"La teoría del todo","11/18/20"
"The Dirt","11/18/20"
"El Hombre Araña 3","11/16/20"
"El sorprendente Hombre Araña","11/9/20"
"La casa de papel: Parte 3: 48 metros bajo el suelo","8/5/20"
"Merlí: Los peripatéticos","8/4/20"
"La casa de papel: Parte 3: Aikido","8/1/20"
"La casa de papel: Parte 1: Episodio 12","8/1/20"
"La casa de papel: Parte 1: Episodio 11","8/1/20"
"Riverdale: Temporada 2: Capítulo 20: Historias del más allá","7/23/20"
"Mujer Maravilla","7/19/20"
"The End of the F***ing World: Temporada 1: Episodio 3","7/18/20"
"Riverdale: Temporada 2: Capítulo 17: La ciudad que le temía al anochecer","7/11/20"
"The Avengers: Los Vengadores","7/1/20"
"Modern Family: Piloto","6/29/20"
"Ant-Man: El hombre hormiga","6/3/20"
"Riverdale: Temporada 1: Capítulo 4: La última película","5/23/20"
"Bill Gates bajo la lupa: Miniserie: Parte 1","5/18/20"
"Misión: Imposible","5/12/20"
"Una noche para sobrevivir","5/10/20"
"La casa de papel: Parte 2: Episodio 9","5/10/20"
"Hambre de poder","5/9/20"
"Matchday: Dentro del FC Barcelona: Miniserie: Un clásico del fútbol","5/7/20"
"Capitán América: Guerra civil","5/6/20"
"Riverdale: Temporada 1: Capítulo 3: Doble de cuerpo","5/4/20"
"Batman inicia","5/3/20"
"Riverdale: Temporada 2: Capítulo 21: La casa del diablo","4/30/20"
"Riverdale: Temporada 2: Capítulo 22: Noche de paz, noche de muerte","4/30/20"
"Misión de rescate","4/29/20"
"Riverdale: Temporada 2: Capítulo 19: A prueba de muerte","4/27/20"
"Riverdale: Temporada 2: Capítulo 25: Lo malvado y lo divino","4/27/20"
"Riverdale: Temporada 1: Capítulo 2: Las sombras del mal","4/26/20"
"Riverdale: Temporada 1: Capítulo 1: Corrientes traicioneras","4/25/20"
"Riverdale: Temporada 3: Capítulo 57: Sobrevivan a la noche","4/25/20"
"Riverdale: Temporada 3: Capítulo 56: El oscuro secreto de la casa","4/24/20"
"Riverdale: Temporada 3: Capítulo 55: Noche de graduación sangrienta","4/24/20"
"Riverdale: Temporada 3: Capítulo 54: Tenle miedo a la Parca","4/24/20"
"Riverdale: Temporada 3: Capítulo 53: Juegos peligrosos","4/24/20"
"Esta mierda me supera: Stan en todo","4/24/20"
"Esta mierda me supera: Se acabó la fiesta","4/24/20"
"Riverdale: Temporada 3: Capítulo 52: La redada","4/24/20"
"Riverdale: Temporada 3: Capítulo 51: Queremos divertirnos","4/24/20"
"Riverdale: Temporada 3: Capítulo 50: Sueños americanos","4/23/20"
"Riverdale: Temporada 3: Capítulo 49: Fuego camina conmigo","4/23/20"
"Riverdale: Temporada 3: Capítulo 48: Réquiem para un peso wélter","4/23/20"
"Riverdale: Temporada 3: Capítulo 47: Bizarrodale","4/23/20"
"Riverdale: Temporada 3: Capítulo 46: La dalia roja","4/23/20"
"Riverdale: Temporada 3: Capítulo 44: Sin salida","4/23/20"
"Riverdale: Temporada 3: Capítulo 45: El extraño","4/23/20"
"Riverdale: Temporada 3: Capítulo 43: Epidemia","4/22/20"
"Riverdale: Temporada 3: Capítulo 42: El Hombre de Negro","4/21/20"
"Riverdale: Temporada 3: Capítulo 41: Cazador de hombres","4/21/20"
"Riverdale: Temporada 3: Capítulo 40: El gran escape","4/21/20"
"Riverdale: Temporada 2: Capítulo 16: Ojos en el bosque","4/21/20"
"Riverdale: Temporada 3: Capítulo 39: El Club de Medianoche","4/21/20"
"Riverdale: Temporada 3: Capítulo 38: Como es arriba, es abajo","4/21/20"
"Riverdale: Temporada 3: Capítulo 37: La fortuna y los ojos del hombre","4/21/20"
"Riverdale: Temporada 3: Capítulo 36: Día del Trabajo","4/19/20"
"Riverdale: Temporada 1: Capítulo 10: Días sin huella","4/19/20"
"Riverdale: Temporada 2: Capítulo 35: Un mundo feliz","4/18/20"
"Riverdale: Temporada 2: Capítulo 34: La noche del juicio","4/18/20"
"Riverdale: Temporada 2: Capítulo 33: La sombra de una duda","4/18/20"
"Riverdale: Temporada 2: Capítulo 32: La intriga","4/18/20"
"Riverdale: Temporada 2: Capítulo 31: ¡Qué noche aquella!","4/18/20"
"Riverdale: Temporada 2: Capítulo 30: Nudo apretado","4/17/20"
"Riverdale: Temporada 2: Capítulo 29: Colores primarios","4/17/20"
"Riverdale: Temporada 2: Capítulo 28: Correrá la sangre","4/17/20"
"Riverdale: Temporada 2: Capítulo 27: Despertar del diablo","4/17/20"
"Riverdale: Temporada 2: Capítulo 26: El corazón delator","4/17/20"
"La casa de papel: Parte 4: La boda de Berlín","4/17/20"
"La casa de papel: Parte 4: Game Over","4/17/20"
"Riverdale: Temporada 2: Capítulo 24: El luchador","4/16/20"
"Riverdale: Temporada 2: Capítulo 23: Semilla de maldad","4/16/20"
" : Episodio 1","4/16/20"
"El señor de los anillos: La comunidad del anillo","4/15/20"
"Rick y Morty: Temporada 4: Aprovechando el mortymento: Vive, muere, Rickpeat","4/14/20"
"Flash: Temporada 4: Flash renacido","4/14/20"
"The End of the F***ing World: Temporada 2: Episodio 8","4/14/20"
"The End of the F***ing World: Temporada 2: Episodio 7","4/14/20"
"The End of the F***ing World: Temporada 2: Episodio 6","4/14/20"
"The End of the F***ing World: Temporada 2: Episodio 5","4/14/20"
"The End of the F***ing World: Temporada 2: Episodio 4","4/14/20"
"The End of the F***ing World: Temporada 2: Episodio 3","4/13/20"
"The End of the F***ing World: Temporada 2: Episodio 2","4/13/20"
"The End of the F***ing World: Temporada 2: Episodio 1","4/13/20"
"The End of the F***ing World: Temporada 1: Episodio 8","4/13/20"
"La casa de papel: Parte 1: Episodio 1","4/11/20"
"The End of the F***ing World: Temporada 1: Episodio 7","4/11/20"
"The End of the F***ing World: Temporada 1: Episodio 6","4/11/20"
"The End of the F***ing World: Temporada 1: Episodio 5","4/11/20"
"The End of the F***ing World: Temporada 1: Episodio 4","4/11/20"
"The End of the F***ing World: Temporada 1: Episodio 2","4/10/20"
"The End of the F***ing World: Temporada 1: Episodio 1","4/10/20"
"La casa de papel: El fenómeno","4/10/20"
"Vengadores: La era de Ultrón","4/9/20"
"Riverdale: Temporada 2: Capítulo 18: Llama un extraño","4/9/20"
"Escuadrón 6","4/9/20"
"La casa de papel: Parte 4: Tumbar la carpa","4/9/20"
"La casa de papel: Parte 4: KO técnico","4/9/20"
"La casa de papel: Parte 4: 5 minutos antes","4/9/20"
"La casa de papel: Parte 4: Suspiros de España","4/8/20"
"La casa de papel: Parte 4: Lección de anatomía","4/8/20"
"La casa de papel: Parte 3: La deriva","4/8/20"
"La casa de papel: Parte 3: Pequeñas vacaciones","4/8/20"
"La casa de papel: Parte 3: Todo pareció insignificante","4/7/20"
"La casa de papel: Parte 3: Bum, bum, ciao","4/7/20"
"La casa de papel: Parte 3: La hora del delfín","4/7/20"
"La casa de papel: Parte 3: Hemos vuelto","4/7/20"
"La casa de papel: Parte 2: Episodio 8","4/5/20"
"La casa de papel: Parte 2: Episodio 7","4/5/20"
"La casa de papel: Parte 2: Episodio 6","4/5/20"
"La casa de papel: Parte 2: Episodio 5","4/5/20"
"La casa de papel: Parte 2: Episodio 4","4/4/20"
"La casa de papel: Parte 2: Episodio 3","4/4/20"
"La casa de papel: Parte 2: Episodio 2","4/4/20"
"La casa de papel: Parte 2: Episodio 1","4/4/20"
"La casa de papel: Parte 1: Episodio 13","4/4/20"
"La casa de papel: Parte 1: Episodio 10","4/4/20"
"La casa de papel: Parte 1: Episodio 9","4/4/20"
"La casa de papel: Parte 1: Episodio 8","4/4/20"
"La casa de papel: Parte 1: Episodio 7","4/4/20"
"La casa de papel: Parte 1: Episodio 6","4/3/20"
"La casa de papel: Parte 1: Episodio 5","4/3/20"
"La casa de papel: Parte 1: Episodio 4","4/3/20"
"Riverdale: Temporada 2: Capítulo 15: Noctámbulos","3/24/20"
"Riverdale: Temporada 2: Capítulo 14: Un beso antes de morir","3/23/20"
"Riverdale: Temporada 1: Capítulo 13: El dulce más allá","3/23/20"
"Riverdale: Temporada 1: Capítulo 12: Anatomía de un asesinato","3/23/20"
"Riverdale: Temporada 1: Capítulo 11: Volver al futuro","3/23/20"
"Riverdale: Temporada 1: Capítulo 9: La gran ilusión","3/22/20"
"Riverdale: Temporada 1: Capítulo 8: Los marginados","3/21/20"
"Riverdale: Temporada 1: Capítulo 7: En un lugar solitario","3/21/20"
"Riverdale: Temporada 1: Capítulo 6: La mujer del cuadro","3/20/20"
"Riverdale: Temporada 1: Capítulo 5: El corazón de las tinieblas","3/20/20"
"Flash: Temporada 4: Por eso está ella","3/18/20"
"Flash: Temporada 4: Suerte para una dama","3/18/20"
"Baywatch: Guardianes de la bahía: Baywatch_hook_primary_9x16","3/13/20"
"Escuadrón 6: 6 Underground_shortpreview_9x16","3/13/20"
"Merlí: Temporada 2: Episodio 5","3/7/20"
"Merlí: Temporada 2: Episodio 4","3/6/20"
"Merlí: Temporada 2: Episodio 1","3/4/20"
"The Witcher: Temporada 1: Cuatro marcos","2/28/20"
"Esta mierda me supera: Tu secreto más oscuro","2/28/20"
"Esta mierda me supera: De tal palo, tal astilla","2/28/20"
"Esta mierda me supera: Otro día en el paraíso","2/28/20"
"Esta mierda me supera: Tiempos desesperados","2/28/20"
"Esta mierda me supera: Querido diario...","2/27/20"
"The Witcher: Temporada 1: Principio del fin","2/23/20"
"Shrek 2","2/22/20"
"Merlí: Epicuro","2/21/20"
"Rápidos y furiosos 8","2/15/20"
"Sex Education: Temporada 2: Episodio 6","2/15/20"
"Sex Education: Temporada 2: Episodio 7","2/15/20"
"Merlí: Temporada 2: Episodio 13","2/15/20"
"Sex Education: Temporada 2: Episodio 8","2/14/20"
